Item Name,NS ID,Comment 1,Comment 2,Comment 3,Comment 4,Comment 5,Comment 6,Comment 7,Comment 8,Comment 9,Comment 10,Comment 11,Comment 12,Comment 13,Comment 14,Comment 15,Comment 16,Comment 17,Comment 18,Comment 19,Comment 20
G22032 NBTY,1757,*,GRADE: 40 LB C.V.BLEACHED MG WET STRENGTH MUST BE FDA,*,COATING: NONE,*,SIZE: 28-3/4 X 23" SHEETS + OR - 1/8",*,PACK: 1000 SHEETS PER CTN MG SIDE UP .NO STAPLES,*,LABEL: ITEM SIZEQTY CUST PRODUCT NO.61-99900 P.O.NO.,*,END USE: PILL TRAY LAY OUT SHEETS.,*,NOTE: SHIPMENT MUST HAVE DETAILED PACKING LIST TO,INCLUDE P.O. NO. PRODUCT NO. LOT NO. SKID QTYS. PRODUCT,DISCRIPTION,SHIPMENT MUST ALSO INCLUDE A CERT. OF ANALYSIS AND FDA,COMPLIANCE LETTER.,,,
G22033 NBTY,1758,*      *      *,GRADE: 40 LB BL KFT CV MG FDA CERT REQUIRED,*,COATING: NONE,*,SIZE: 30 X 30" SHEETS,*,PACK: MG SIDE UP . 500 SHEETS PER BDL,*,LABEL: ITEM SIZE QTY DATE P.O. NO. G22033 NBTY & CO#,*,END USE: PILL LAY OUT DRYING SHEETS,,,,,,,,,
G22035 NARDONE,1760,GRADE: 20 LB. BL. KRAFT    COATING: WET WAX TO 30 LB,SIZE: 9 X10-1/2" SHEETS    *,PACK: 39-1/2 LB JM2 CTN NET. 40 CS MAX. PER SKID,LABEL: MARK 6000 SHEETS   PER CTN. 9X10-1/2"20/32#,WET WAX.,END USE: FOOD SEPARATOR,,,,,,,,,,,,,,,
G22036 NARDONE,1762,GRADE: 25# QUILON          COATING: NONE,SIZE: 16-1/2 X 21" SHEETS  *,PACK: 39 LBS PER CTN NET USE 18X24" CTN STK,LABEL: 2000 SHEETS        25# QUILON 16-1/2 X 21",END USE: PIZZA BAKING      SHEETS,NOTE: NO NORPAK INV.TAGS,,,,,,,,,,,,,,,
G22037 NARDONE,1763,GRADE: 25 LB QUILON        COATING: NONE,SIZE: 13.625 X 18.5" SHEETS,PACK:  BULK IN CTNS   LABEL: NO. OF 1M SHEETS,CTN. SIZE   25# QUILON     END USE: PIZZA BAKE SHEET,NOTE: NO NORPAK INV.TAGS   *   NO STAPLES,PACK 3500 SHEETS BULK IN P-738 CTN 49 LBS.,,,,,,,,,,,,,,,
G22038 NARDONE,1764,GRADE: 25# QUILON          *,COATING: NONE              SIZE: 18 X 26" SHEETS,PACK: 54 LBS BULK  PER     CARTON USE AP-1 44X44"PAL,LET. *                     LABEL:ITEM SIZE 2000 SHTS,END USE: BAKING RELEASE    SHEET.,,NOTE: NO NORPAK INV. TAGS,,,,,,,,,,,,,,
G22039 NARDONE,1765,GRADE: 20 LB. BLEACHED     KRAFT.,COATING: WET WAX TO 32#    *,SIZE: 9 X 13-1/2" SHEETS   PACK: 54# PER CS,LABEL: 6000 SHEETS PER    CTN. SIZE. ITEM.,END USE: FOOD WRAP,,,,,,,,,,,,,,,,
G22050 NASTO,1768,GRADE: 30 LB BLEACHED      KRAFT.,COATING: SEMI WAX TO 39    LB FINISH.,SIZE: 7-7/8 X 8-5/8"       SHEETS,PACK: 50 LBS BULK CARTONS  LABEL: ITEM SIZE AND,QUANTITY.                  END USE: ICE CREAM CARTON,SHEET.,,,,,,,,,,,,,,,
G22300NYC.DEPT,1770,****,ITEM: HEAT SEALABLE BREAD WRAP  26-P-7 : TYPE "B",*,GRADE: 25# BL KFT+ OR - 5% MAX.CT TEAR 39 MIN MULLEN,SEE CURRENT SPECS FOR 26-P-7 IN SALES DEPT & PROD.DEPT.,*,COATING: WET WAX 10-13LBS. GLOSSTITE WAX,*,SIZE: 20-1/2" WIDTH ROLLS + OR - 1/8",*,PACK: PACK IN PLASTIC BAGS ON PALLETS 40 X 48" ONLY,*,LABEL: ITEM: 26-P-7: TYPE "B"SIZE MFR NAME & DATE,P.O.#,*,REWIND: 10-1/2" OD  3" CORE,*,END USE: HEAT SEALABLE BREAD WRAP,*,,
G22475 NEWARK,1771,GRADE: 35 LB BLEACHED      KRAFT.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 5-1/2 X 5-1/2"       SHEETS.,PACK: 50 LB BULK BUNDLES.  LABEL: ITEM SIZE AND,QUANTITY.                  END USE: MEAT INTER-,LEAVER.,,,,,,,,,,,,,,,
G22804 OKEN,4062,GRADE: 40 LB.BLEACHED      KRAFT WITH WET STRENGTH.,COATING: NONE              SIZE: 30 X 30" SHEETS,PACK: 50 LB PER BDL.       PACK FLAT ON PALLETS.,LABEL: ITEM SIZE QTY.      END USE: FOOD WRAP,,,,,,,,,,,,,,,,,
G23049 OLYMPIC,3990,GRADE: 30 LB BLEACHED      KRAFT.,COATING: DRY WAX TO 35 LB  FINISH.,SIZE: 10 X 10"             PACK: 50 LB BULK BUNDLES,LABEL: ITEM SIZE AND     QUANTITY.,END USE: PIZZA SHEETS.,,,,,,,,,,,,,,,,
G23050 OLYMPIC,1777,GRADE: 30 LB BLEACHED      KRAFT.,COATING: DRY WAX TO 35 LB  FINISH.,SIZE: 12 X 12" SHEETS      PACK: 50 LB BULK BUNDLES,LABEL: ITEM SIZE AND     QUANTITY.,END USE: PIZZA SHEETS.,,,,,,,,,,,,,,,,
G23051 OLYMPIC,1778,GRADE: 30 LB BLEACHED      KRAFT.,COATING: DRY WAX TO 35 LB  FINISH.,SIZE: 14 X 14" SHEETS      PACK: 50 LB BULK BUNDLES.,LABEL: ITEM SIZE AND     QUANTITY.,END USE: PIZZA SHEETS.,,,,,,,,,,,,,,,,
G23052 OLYMPIC,1779,GRADE: 30 LB BLEACHED      KRAFT.,COATING: DRY WAX TO 35 LB  FINISH.,SIZE: 16 X 16" SHEETS      PACK: 50 LB BULK BUNDLES.,LABEL: ITEM SIZE AND     QUANTITY.,END USE: PIZZA SHEETS.,,,,,,,,,,,,,,,,
G23126 ONTARIO,1780,***,ITEM: SOLID GOLD ITEM NO.204901 DO NOT MIX P/N'S/SKID,*,GRADE: SF319 PARAFOIL MIN CALIPER AFTER LAMINATION.00,*,SIZE: 1-3/8" WIDTH + OR - 1/16",*,PACK: 6 RL/CS 9/LAYER 54"MAX HGT40X48"PALLETS NO OVRH,*,LABEL: GOLD P/N 204901 CUST P.O.# DATE QTY FT/RL,NORPAK/ADDRESS CO NO. BAR CODES ON ALL NO.'S,,PRINT: GRAVURE 100% GOLD PMS 4-131 100% HEAT SEAL,*,REWIND: 14" OD REPORT FOOTAGE PER ROLL 3" CORE FLAG ALL,SPLICES   N-1 DIRECTION,*,END USE: HEAT SEALABLE BOUILLON CUBE OVERWRAP,,,
G23127 ONTARIO,1781,*           *       *,ITEM: RED  P/N 204900 DO NOT MIX P/N'S ON SAME PALLET,*,GRADE: SF319 PARAFOIL MIN. CALIPER AFTER LAMINATION,.0023,*,SIZE:  1-3/8" WIDTH + OR - 1/64",*,PACK: 6 RL/CS 9/LAYER 54"MAX HGT40X48"PALLETS NO OVRHNG,*,LABEL: FT/RL P/N 204900 REDMFR DATE PO# CO# EXP DATE,TOTAL QTY/CS NORPAK NAME/ADDRESS BAR CODES FOR ALL NO,*,PRINT: PRINT GRAVURE 100% RED  + 100% HEAT SEAL ON FO,SIDE. PMS 4-485 RED,*,REWIND: N-1 FLAG ALL SPLICES 14" MAX. OD REPORT FOOTAGE,3" CORE.,*,END USE: BOUILLON CUBE OVERWRAP HEAT SEALABLE.,
G23143 PACRITE,4058,GRADE: 35# BROWN GP SHEETS IN CUTTING ROOM CUT IN HALF,COATING: AS IS,*,SIZE: 10 X 15" SHEETS,*,PACK: 50 LBS BULK CARTONS,*,LABEL: ITEM SIZE QTY,*,END USE: TAPE SEPARATORS,,,,,,,,,,,
G23153 PAPERCON,1786,GRADE:  18#BLEACHED KRAFT  WITH WET STRENGTH,COATING: DRY WAX TO 21 LB  FINISH.,SIZE: 12 X10-3/4" SHEETS   INTERFOLDED,PACK: 12 PGS 500SHTS/CS    USE CUSTOMER'S INNERS&OUT,12BLOCK 5 HIGH ON PALLET   LABEL: NO NORPAK SKID TAG,END USE: SANDWICH WRAPPER,NOTE:       INTERFOLDED.,,,,,,,,,,,,,,
G23154 PAPERCON,1787,GRADE: 18 LB. BLEACHED     KRAFT WITH WET STRENGTH,COATING: DRY WAX TO 21 LB  SIZE: 8 X 10-3/4",INTERFOLDED SHEETS         PACK: USE CUSTOMERS,INNERS & OUTERS 12/500     STACK ON PALLETS 12 CS,PER LAYER 8 HIGH (96 CS/,PALLET)                    LABEL: NO NORPAK PALLET,TAGS                       END USE: SANDWICH WRAP,,,,,,,,,,,,,,
G23251PAPERPLUS,4055,GRADE: 40 LB. BLEACHED     KRAFT POLY COATED 5 LBS,ONE SIDE.,COATING: NONE              *,SIZE: 18 X 36" SHEETS      PACK: 500   SHEETS PER,LABEL: ITEM SIZE AND     QUANTITY.,QUANTITY.                  END USE: FOOD WRAP.,,,,,,,,,,,,,,,
G23451PENNJERSY,1806,GRADE: 25 LB BLEACHED      KRAFT. END USE: SUBWRAP.,COATING: WET WAX TO 38 LB,FINISH. SIZE: 15 X 20"     SHEET SIZE REWIND & PACK-,ING: PACK IN CARTONS 50#,BULK. LABEL: SIZE ITEM   AND QUANTITY.,,,,,,,,,,,,,,,,
G23453PENNJERSY,1807,GRADE: 35 LB BLEACHED      KRAFT. DO NOT USE COATED,STOCK.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 5-1/4 X 8-1/4"       SHEETS,PACK: 50 LBS PER #2 TELLY  CARTON,LABEL: ITEM SIZE AND     QUANTITY.,END USE: MEAT INTERLEAVER,,,,,,,,,,,,,,
G23454PENNJERSY,1808,GRADE: 25 LB BLEACHED      KRAFT.,COATING: SEMI WAX TO 32    LB.,SIZE: 9" WIDTH             PACK: 2 ROLLS PER BUNDLE.,LABEL: ITEM SIZE AND     QUANTITY.,DIAMETER: RLS TO WEIGH 18  LBS. APPROX. 10"OD 3"CORE,END USE: CHIP STEAK        INTERLEAVER.,,,,,,,,,,,,,,,
G23455PENNJERSY,1809,GRADE: 20 LB BLEACHED      KRAFT.,COATING: WET WAX TO 29#    SIZE: 18 X 24" SHEETS,PACK: 50 LBS BULK BUNDLES  *,LABEL: ITEM SIZE AND     QUANTITY.,END USE: SANDWICH WRAP.,,,,,,,,,,,,,,,,
G23456PENNJERSY,1810,GRADE: 30 LB. BLEACHED     KRAFT.,COATING: WET WAX TO 39#    8-10#WAX GSA STYLE,SIZE: 14 X 18" SHEETS      PACK: 50# BULK CARTONS,LABEL: ITEM SIZE AND     QUANTITY.,END USE: SAUSAGE INTERLEA  VER,,,,,,,,,,,,,,,,
G23457PENNJERSY,1811,GRADE: 25# QUILON          COATING: NONE,SIZE: 7" CIRCLES           *,PACK: 1000 CIRCLES PER     PACKAGE THEN IN MASTER,CARTONS.,LABEL: ITEM SIZE AND     QUANTITY.,END USE: CAKE CIRCLES,,,,,,,,,,,,,,,
G23458PENNJERSY,1812,****,GRADE: 35 LB BLEACHED KRAFT  DO NOT USE COATED STOCK,*,COATING: WET WAX TO 50# FINISH,*,SIZE: 7 X 10" SHEETS,*,PACK: 50 LBS BULK IN CTN,*,LABEL: ITEM SIZE QTY P.O.#,,END USE: FOOD INTERLEAVER,,,,,,,,,
G23459PENNJERSY,1813,GRADE: 35 LB. BLEACHED     KRAFT.,COATING: WET WAX TO 50 LB  FINISH.,SIZE: 8 X 9-1/2" SHEETS    PACK: 50 LB. PER CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: MEAT INTERLEAVER,,,,,,,,,,,,,,,,
G23460PENNJERSY,1814,GRADE: 35 LB. BLEACHED     KRAFT.,COATING: DRY WAX TO 40 LB  SIZE: 9 X 9" SHEETS,PACK: 50 LB. PER 18X18"    SUB TELLY,LABEL: ITEMSIZEQUANTITY  *,END USE: PIZZA BOX LINER,,,,,,,,,,,,,,,,
G23462PENNJERSY,1815,GRADE: 40 LB. BLEACHED     KRAFT,COATING: WET WAXED TO 60   LB. FINISH,SIZE: 5 X 8" SHEETS        PACK: 50 LBS. PER CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: MEAT INTERLEAVER,,,,,,,,,,,,,,,,
G23463PENNJERSY,1816,GRADE: 35 LB. BLEACHED     KRAFT. DO NOT MIX GRADES,COATING: DRY WAX TO 40 LB  FINISH,SIZE: 3-1/4 X 5-1/2"       SHEETS,PACK: 1000 SHEETS PER     PK.CHIP BOARD TOP &,BOTTOM.TWO RUBBER BANDS,PER PK. 20 PKGS PER        CARTON.,LABEL: ITEMSIZEQUANTITY  END USE: CAKE SEPARATORS,,,,,,,,,,,,,,
G23464PENNJERSY,1817,GRADE: 30# BL KFT WITH     WET STRENGTH,COATING: DRY WAX TO 39#    SIZE: 24 X40" SHEETS,PACK: 50# BULK BDLS PACK   FLAT 26 BDLS PER PALLET,LABEL: ITEM SIZE QUANTITY  *,END USE: LOIN WRAPPER,,,,,,,,,,,,,,,,
G23467PENNJERSY,1818,GRADE: 40 LB. BLEACHED     KRAFT WITH WET STRENGTH,COATING: NONE              SIZE: 15" WIDTH,PACK: 1 ROLL PER POLY BAG  STACK ON PALLETS,USE 15"COUNTER ROLL        1000 FT LABEL,LABEL: SAME AS 15" 1000    FT. COUNTER ROLL,FOOTAGE: 1000 FT/RL 3"     CORE,END USE: UTILITY WRAP,,,,,,,,,,,,,,
G23468PENNJERSY,1819,GRADE: 35 LB. BLEACHED     KRAFT,COATING: WET WAX TO 50 LB  SIZE: 6 X 12" SHEETS,PACK: 50 LBS. PER CASE     *,LABEL: ITEMSIZEQUANTITY  END USE: BOX LINER,,,,,,,,,,,,,,,,,
G23470PENNJERSY,1820,GRADE: 25 LB QUILON,*,COATING: AS IS,*,SIZE: 18-1/2 X 26-1/2" SHEETS,*,PACK: 2000 SHEETS IN P.T. CTN STACK ON PALLETS,*,LABEL: ITEM SIZE QTY ITEM# 60377,*,END USE: BAKERY PAN LINER,*,,,,,,,,,
G23471PENNJERSY,1821,GRADE: 30 LB. BLEACHED     KRAFT DO NOT USE COATED,STK,COATING: WET WAX TO 45 LB  *,SIZE: 6 X 6" SHEETS        PACK: 50 LBS BULK CARTONS,LABEL: ITEMSIZEQUANTITY  *,END USE: FOOD SEPARATOR,,,,,,,,,,,,,,,
G23751 PERKINS,4115,GRADE: 75 LB. BLEACHED     KRAFT. MINIMUM MUST BE,STIFF SHEET.,(FORMERLY FRANK PAPER)     COATING: WET WAX TO 100#,FINISH                     SIZE: 10 X 10" SHEETS,PACK: 50 LBS. PER CARTON   *,LABEL: ITEMSIZEQUANTITY  END USE: STEAK,INTERLEAVER                MUST SUPPORT FRESH STEAK,WHILE FREEZING TO PREVENT,FOLD OVER.,,,,,,,,,,,,
G23752 PERKINS,4022,GRADE: 35 LB BLEACHED KRAFT,COATING: DRY WAX TO 40 LB  FINISH - SUBWRAP,SIZE: 17 X 17" SHEETS      PACK: 50 LB. BULK,LABEL: ITEMSIZEQUANTITY  *,END USE: SUBWRAP,,,,,,,,,,,,,,,,
G23753 PERKINS,4117,"STUFF.IT"                 GRADE: 18 LB. BLEACHED,KRAFT WITH WET STRENGTH    COATING: DRY WAX TO 21,LB.                        #6 WAXER @ 800 FT./MIN,USE 100% PARAFFINE ON      MF SIDE,SIZE: 15 X 10-3/4" SHEETS  TO BE INTERFOLDED,PACK: USE LOGAN INNERS     & OUTERS INTERFOLD 2 RLS.,IN SAME DIRECTION SAME,AS IMPERIAL "BAGELS        YOUR WAY",LABEL: ITEMSIZEQUANTITY  COLORS: RED. PRINT FLEXO,MATCH CUST. SAMPLE         END USE: FOOD WRAP MUST,TAPE,,,,,,,,,,
G23754 PERKINS,4118,UNO REST.                  GRADE: 18# BLEACHED KRAFT,WITH WET STRENGTH TO       BE INTERFOLDED,COATING: DRY WAX TO 21#    FINISH,SIZE: 12 X 10-3/4"         INTERFOLDED SHEETS,PACK: USE LOGAN INNERS     & OUTERS SHEETS TO BE,FACING SAME DIRECTION,WHEN INTERFOLDING          LABEL: STENCIL "UNO" ON,OUTSIDE OF CARTONS         COLORS: PRINT FLEXO,MATCH SAMPLE TEAL          END USE: INTERFOLDED,WAXED SANDWICH WRAP,,,,,,,,,,,
G23755 PERKINS,4119,ITEM:  "AGORA"             *,GRADE: 27# PRECOAT         SAMPLE APPROVED,COATING: NONE              SIZE: 18" WIDTH,LABEL: ITEM SIZE AGORA     *,PACK: BLD WRAP STACK ON    PALLETS.,REWIND: N-7  N-7 SEVEN     PRINTING: FLEXO: BLACK,PMS 370 & PMS 157 RANDOM   END USE: FOOD WRAP,,,,,,,,,,,,,,
G23840PILLSBURY,1829,*,ITEM:      "THIS SIDE UP",*,GRADE: 25 LB DUNN LOW POROSITY MG ONLY,*,COATING: WET WAX TO 34 LB FINISH 100% FULLY REFINED 1,*,SIZE: 7-1/4 X 7-1/4" SHEETS + OR - 1/8" TOLERANCE,*,PACK: 2M SHEETS/BDL 4 BDLS/DB-2 CTN 40X48"PALLETS,*,LABEL: "PRINTED WET WAXED SEPARATOR SHEETS"NO. OF PGS,NORPAK CORP CO NO. CUSTOMER PO NO. P/N 3042478000,*,PRINT: FLEXO PMS 485U RED FDA FOOD CONTACT,*,END USE: PIE CRUST INTERLEAVER MACHINE FED,*,NOTE: MUST BE CLEAN - HAIR NETS/ GLOVES/ETC.,*     CO NUMBER MUST APPEAR ON B/L AS LOT NUMBER,
G23930 PREMIER,4063,GRADE: 40 LB BLEACHED      KRAFT WET STRENGTH LATEX,OK,COATING: NONE              *,SIZE: 24 X 30" SHEETS      PACK: 50 LB BULK,LABEL: ITEMSIZEQUANTITY  *,END USE: FOOD WRAP,,,,,,,,,,,,,,,
G23931 PREMIER,4064,GRADE: 40 LB BLEACHED      KRAFT WET STRENGTH,COATING: NONE              SIZE: 24 X 42" SHEETS,PACK: BULK                 *,LABEL: ITEMSIZEQUANTITY  END USE: FOOD WRAP,,,,,,,,,,,,,,,,,
G23932 PREMIER,4065,GRADE: 35 LB. BLEACHED     KRAFT,COATING: WET WAXED TO 50   LB,SIZE: 7-1/4 X 10-1/4"      SHEETS,PACK: 50 LBS PER CASE      LABEL: ITEMSIZEQUANTITY,END USE: BOX LINER,,,,,,,,,,,,,,,,
G23950 PRICE,4074,GRADE: 25# QUILON          COATING: NONE,SIZE: 7-1/2 X 7-1/2"       SHEETS,PACK: 1000 SHEET PACKAGES  IN CARTONS. 12 PKGS/CS,LABEL: ITEM SIZE NO. OF  1000'S AND QUANTITY.,END USE: GREASEPROOF       PAPER.,,,,,,,,,,,,,,,,
G23952 PRICE,4075,GRADE: 40 LB. BLEACHED     KRAFT WITH WET STRENGTH,COATING: DRY WAX TO 45#    SIZE: 12" WIDTH,PACK: 1 ROLL PER BDL       *,LABEL: BRITEX 12" CON      REWIND: 15 LBS. OR 8"OD.,WHICHEVER COMES FIRST      END USE: MEAT WRAP,,,,,,,,,,,,,,,,
G23953 PRICE,4076,*,GRADE: 15 LB WET STRENGTH BLEACHED KRAFT,*,COATING: DRY WAX TO 18 LB FINISH,*,SIZE: 15 X 10-3/4" INTERFOLDED SHEETS,*,PACK: USE LOGAN INNER CTNS. IN SPEC. CUSTOMER OUTERS,8 INNERS PER CTN.,*,LABEL:  BRITEX - RW 15 15X10-3/4"INTERFOLDED DELI PAPER,*,END USE: FOOD WRAP,,,,,,,,
G23954 PRICE,4077,*,GRADE: 40 LB. BLEACHED KRAFT,*,COATING: NONE,*,SIZE: 15" WIDTH ROLL,*,PACK: 1 ROLL PER PLASTIC BAG STACK ON PALLETS,*,LABEL: BRITEX 15" EZ-N  ( NORPAK NAME NOT TO APPEAR ),*,END USE: FOOD WRAP,,,,,,,,,
G23955 PRICE,4078,GRADE: 35#CROWN VAN.MG     COATING: NONE,SIZE: 15" WIDTH ROLLS      *,PACK: USE PLASTIC BAGS     STACK ON PALLETS,LABEL: USE SPECIAL LABELS  "15 MGN",FOOTAGE: 1000 FT/RL 3"     CORE,END USE: UTILITY WRAPPER,,,,,,,,,,,,,,,
G23956 PRICE,4079,GRADE: 40 LB. BLEACHED     KRAFT WITH WET STRENGTH,COATING: NONE              SIZE: 28 X 30" SHEETS,PACK: 50 LBS. PER BDL.     *,LABEL: ITEMSIZEQUANTITY  END USE: TABLE COVERS,,,,,,,,,,,,,,,,,
G23957 PRICE,4080,GRADE: 40 LB BLEACHED      KRAFT WITH WET STRENGTH,(USE LATEX),COATING: NONE              *,SIZE: 24 X 27" SHEETS      PACK: 50 LBS. PER BDL.,LABEL: ITEMSIZEQUANTITY  *,END USE: TABLE COVER,,,,,,,,,,,,,,,
G23958 PRICE,4081,*,GRADE: 40 LB BLEACHED KRAFT WET STRENGTH,*,COATING: NONE,*,SIZE: 36 X 36" SHEETS,*,PACK: 50 LBS PER BDL. PACK FLAT,*,LABEL: ITEM SIZE QTY,*,END USE: TABLE COVERS,,,,,,,,,
G23959 PRICE,4082,,GRADE: 40 LB BLEACHED KRAFT,*,COATING: NONE,*,SIZE: 18" WIDTH ROLLS,*,PACK: 1 ROLL PER POLY BAG,*,LABEL: " BRITEX 18 EZ-N ",*,REWIND: 7-1/2" OD 3" CORE,*,END USE: FOOD WRAP,,,,,,,
G23960 PRICE,4083,*,GRADE: 40 LB BLEACHED MF KRAFT,*,COATING: NONE,*,SIZE: 15" WIDTH,*,PACK: 1 ROLL PER PLASTIC BAG STACK ON PALLETS,*,LABEL:  BRITEX 15" MF-N,*,REWIND: 7-1/2" OD 3" CORE,*,END USE: FOOD WRAP,,,,,,,
G23961 PRICE,4084,GRADE: 40 LB BLEACHED      WET STRENGTH,COATING: NONE              SIZE: 26 X 31" SHEETS,PACK: 50 LBS PER CTN ON    BDL,LABEL" 26 X 31"            "BERTOLINIS",END USE: TABLE COVERS,,,,,,,,,,,,,,,,
G23962 PRICE,4085,GRADE: 25 LB QUILON        COATING: NONE,SIZE: 7" CIRCLE            *,PACK: 20 LBS BULK PER      CASE,LABEL: ITEMSIZE           6650 CIRCLES PER CASE,END USE: CAKE CIRCLE,,,,,,,,,,,,,,,,
G23963 PRICE,4086,GRADE: 35 LB BLEACHED      LOW W/S,COATING: DRY WAX TO 40#    SIZE: 24" WIDTH ROLLS,PACK: 1 ROLL PER POLY      BAG,LABEL: 2 BRITEX 15" CON    *,DIAMETER: 8"OD 3"CORE      REWIND: TO 27 LBS OR,8"OD WHICHEVER COMES       FIRST,END USE: FOOD WRAP,,,,,,,,,,,,,,
G24001PROGRESSI,4029,*,*,GRADE: 25 LB BLEACHED KRAFT  NEED GOOD V&O HOLD OUT,*,COATING: DRY WAX TO 30# FINISH   MUST TAPE,*,SIZE: 14 X 18 " SHEETS,*,PACK: BULK PER CTN USE 14X18 MCNAIRN CTN STACK ON SKIDS,*,LABEL: ITEM SIZE QTY "EXCLUSIVE PACK FOR PROGRESSIVE,FOODS" NORPAK CODE NO. DATE,*,END USE: SUBWRAP MUST TAPE MUST HAVE GOOD V&O HOLD OU,NO MOTTLED APPEARANCE NOT TO BE WAXY NOT OFF COLOR,,,,,,
G24225 QUAL.CTN,1836,GRADE: 35 LB BLEACHED      KRAFT,COATING: WET WAX TO 50 LB  DELWRAP STYLE,SIZE: 18 X 36" SHEETS      PACK: 50 LBS PER BDL,STACK ON PALLETS           LABEL: ITEMSIZEQUANTITY,END USE: BOX LINER,,,,,,,,,,,,,,,,
G24270QUALITYPG,4070,GRADE: 35 LB. BLEACHED     KRAFT,COATING: WET WAX TO 50 LB  FINISH (SAME AS DELWRAP),SIZE: 7 X 10" SHEETS       PACK: 50 LBS. PER CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: BOX LINERS,,,,,,,,,,,,,,,,
G24271QUALITYPG,4071,GRADE: 35 LB. BLECAHED     KRAFT,COATING: WET WAX TO 50 LB  FINISH (SAME AS DELWRAP),SIZE: 9 X 12" SHEEETS      PACK: 50 LBS. PER CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: BOX LINERS,,,,,,,,,,,,,,,,
G24272QUALITYPG,4072,GRADE: 35 LB. BLEACHED     KRAFT,COATING: WET WAX TO 50 LB  FINISH (SAME AS DELWRAP),SIZE: 8 X 18" SHEETS       PACK: 50 LBS. PER CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: BOX LINERS,,,,,,,,,,,,,,,,
G24273QUALITYPG,4073,GRADE: 35 LB. BLEACHED     KRAFT,COATING: WET WAX TO 50 LB  FINISH (SAME AS DELWRAP),SIZE: 12 X 18" SHEETS      PACK: 50 LBS. PER CARTON,LABEL: ITEMSIZEQUANTITY  *,END USE: BOX LINERS,,,,,,,,,,,,,,,,
G24400 R&R PROV,1872,GRADE: 35 LB BLEACHED      KRAFT (DO NOT USE COATED,STOCK),COATING: WET WAX TO 50 LB  FINISH.,SIZE: 10 X 14"             *,PACK: 50 LB BULK CARTONS.  LABEL: ITEM SIZE AND,QUANTITY.                  END USE: MEAT SEPARATOR.,,,,,,,,,,,,,,,
G25150 RONPAK,1878,GRADE: 18 LB. BLEACHED     KRAFT WET STRENGTH,COATING: DRY WAX TO 21 LB  SIZE: 15-5/8" WIDTH,PACK: STACK ON PALLETS     CHIPBOARD TOP & BOTTOM,LABEL: SIZEQUANTITY       *,DIAMETER: MAX DIA          POSSIBLE ON 3" CORE,END USE: BAG STOCK,,,,,,,,,,,,,,,
G25151 RONPAK,1879,GRADE: 25# QUILON          COATING: AS IS,SIZE: 12-3/16 X 16-3/8" SHEETS,PACK: 2000 SHEETS PER CARTON USE PLAIN CTN,STACK ON PALLETS 4 BLOCK 13 HIGH,LABEL:   25# QUILON PANLINERS SIZE 12 -3/16 X,16-3/8" 2000 SHEETS",END USE: BAKING PAN LINERS,,,,,,,,,,,,,,
G25152 RONPAK,1880,GRADE: 25 LB QUILON        COATING: NONE,SIZE: 16-3/8 X 24-3/8      SHEETS,PACK: USE SPECIAL          PREPRINTED RONPAK CARTONS,PACK 5 BLOCK 20 LAYERS     HIGH PER PALLET 100CS/PLT,LABEL: NO NORPAK PALLET    TAGS,END USE: BAKING PAN LINER,,,,,,,,,,,,,,,
G25250 ROYAL,1881,GRADE: 30 LB BLEACHED      KRAFT WITH WET STRENGTH.,COATING: DRY WAX TO 35 LB  SIZE: 3-1/4" WIDTH,PACK: BUNDLE WRAP.         *,LABEL: ITEM SIZE AND     QUANTITY.,DIAMETER OR FOOTAGE:       7-1/2" O.D. 3" CORE,END USE: ICE CREAM         SEPARATOR.,,,,,,,,,,,,,,,
G25500 NIELSEN,1886,GRADE: 25 LB. QUILON       COATING: NONE,SIZE: 41" WIDTH ROLLS      *,PACK: BUNDLEWRAP           LABEL: ITEMSIZEQUANTITY,P/N QP.41                  END USE: INDUSTRIAL,RELEASE SHEETS,,,,,,,,,,,,,,,,
G25501 NIELSEN,1887,GRADE: 25 LB. QUILON       COATING: NONE,SIZE: 33 X 41 " SHEETS     *,PACK: BULK USE CORNER BOARDS ON ALL EDGES SIDES &TOP,LABEL: ITEMSIZEQUANTITY  P/N QP3341,END USE: INDUSTRIAL        RELEASE SHEET,,,,,,,,,,,,,,,,
G25708 JL.SALES,4050,**   *   *,GRADE: 35 LB BLEACHED KRAFT (DELWRAP),*,COATING: WET WAX TO 50 LB FINISH,*,SIZE: 9" WIDTH ROLLS,*,PACK: POLY BAGS STACK ON PALLET,*,LABEL: ITEM SIZE QTY,*,REWIND: 1000 FT PER ROLL 3" CORE,*,END USE: CANDY SHEET,,,,,,,
